zpid,city,state,homeStatus,streetAddress,zipcode,bedrooms,bathrooms,price,longitude,latitude,homeType,lotSize,zestimate,rentZestimate,dateSoldString,taxAssessedValue,taxAssessedYear,parcelId
5780309,Winston Salem,NC,OTHER,2535 Aaron Ln,27106,4.0,3.0,505600,-80.28527,36.134735,SINGLE_FAMILY,22651.0,505600.0,2935,1993-09-15,321200.0,2023.0,6827004369000
74289273,Hudson,NH,OTHER,17 Parkhurst Dr,03051,3.0,2.0,517000,-71.4135,42.74669,SINGLE_FAMILY,20037.0,517000.0,3200,1995-08-18,424600.0,2022.0,HDSOM205B066L000
42723306,Gainesville,FL,OTHER,4504 SW 46th Dr,32608,2.0,2.0,170700,-82.39334,29.61229,SINGLE_FAMILY,2613.0,170700.0,1300,2018-07-28,84971.0,2023.0,06974112001
69000222,Merced,CA,OTHER,3593 Santiago Ave,95348,3.0,2.0,394800,-120.5042,37.33126,SINGLE_FAMILY,5227.0,394800.0,1980,2013-05-06,192920.0,2023.0,058461024000
117794174,Temple,NH,OTHER,22 Memorial Hwy,03084,3.0,1.5,403000,-71.83731,42.813194,SINGLE_FAMILY,239580.0,403000.0,3028,2011-08-12,188800.0,2022.0,TMPLM0006AL000023S000000
102974449,Orange Park,FL,OTHER,2003 Bridgewood Dr,32065,4.0,4.0,540700,-81.86158,30.151512,SINGLE_FAMILY,9283.0,540700.0,2979,2011-03-04,310170.0,2022.0,13042400554200877
2053263951,Sherwood,AR,RECENTLY_SOLD,6517 Waterleaf Ct,72120,4.0,2.0,216000,-92.1782,34.7812,SINGLE_FAMILY,7840.0,224200.0,1550,2024-01-30,7680.0,2023.0,23S0530600800
24764271,Oakland,CA,OTHER,4039 Linwood Ave,94602,3.0,2.0,1320400,-122.22004,37.80517,SINGLE_FAMILY,2613.0,1320400.0,4294,2009-04-28,891128.0,2023.0,245234
39785666,Wayne,NJ,OTHER,217 Alps Rd,07470,3.0,2.0,590000,-74.25683,40.919926,SINGLE_FAMILY,8999.0,590000.0,3428,2016-11-29,173800.0,2023.0,1400922000000011
65919400,Smithfield,RI,OTHER,17 Balsam Ln,02917,4.0,2.5,675200,-71.543785,41.891903,SINGLE_FAMILY,20037.0,675200.0,3249,2012-04-02,460500.0,2023.0,SMITM46B000L344U
46525552,West Palm Beach,FL,RECENTLY_SOLD,47 Stratford #D-0470,33417,2.0,2.0,265000,-80.123985,26.717375,CONDO,43560.0,268400.0,1900,2024-01-19,63984.0,2023.0,00424323150040470
103679454,Saint Charles,MO,OTHER,57 Woods Edge Ct,63304,3.0,2.0,406900,-90.59148,38.731995,SINGLE_FAMILY,9583.0,406900.0,2256,2015-07-17,64609.0,2023.0,3003694920002670000000
49992901,Durham,NC,OTHER,4011 Deep Wood Cir,27707,3.0,2.0,504200,-78.96178,35.95595,SINGLE_FAMILY,20298.0,504200.0,2400,2020-09-02,286047.0,2022.0,136935
32902457,Hudson Falls,NY,OTHER,3642 Burgoyne Ave,12839,2.0,1.0,153600,-73.56511,43.31301,SINGLE_FAMILY,17625.0,153600.0,1200,2004-06-28,126000.0,2023.0,5344891548129
81468269,Orange City,FL,SOLD,682 Gilmore Stage Rd,32763,4.0,2.0,290000,-81.291336,28.941843,SINGLE_FAMILY,5896.0,330800.0,2238,2022-09-02,279481.0,2023.0,6395314.0
12517947,Richmond,VA,OTHER,3124 Cullenwood Dr,23234,3.0,2.0,268600,-77.45462,37.479984,SINGLE_FAMILY,7492.0,268600.0,1749,1995-08-31,204000.0,2023.0,C0090618031
44295545,Miami,FL,OTHER,9710 SW 163rd St,33157,3.0,2.0,526700,-80.35005,25.61823,SINGLE_FAMILY,9435.0,526700.0,3699,2005-02-10,146247.0,2023.0,3050280080220
87017575,Knoxville,IA,OTHER,710 W Washington St,50138,3.0,1.0,112700,-93.105675,41.315865,SINGLE_FAMILY,7380.0,112700.0,1412,2011-05-20,85750.0,2023.0,1023600000
36397932,Lutherville Timonium,MD,OTHER,1014 Westwicke Ln,21093,5.0,5.75,1710200,-76.68334,39.43566,SINGLE_FAMILY,71042.0,1710200.0,10125,1998-06-22,1363700.0,2023.0,082200026543
30416539,West Seneca,NY,OTHER,85 Oakbrook Dr,14224,3.0,2.0,312200,-78.72043,42.814533,SINGLE_FAMILY,8276.0,312200.0,2169,2012-10-10,68000.0,2023.0,14680014419324
4163016,Blue Island,IL,SOLD,2121 Grove St,60406,4.0,1.0,105000,-87.67376,41.654358,SINGLE_FAMILY,3301.0,157300.0,1849,2022-02-04,6640.0,2022.0,25313130040000
211283826,Annville,PA,OTHER,455 E Main St,17003,3.0,2.0,209700,-76.5079,40.331066,MULTI_FAMILY,4791.0,209700.0,1800,2008-11-19,116100.0,2023.0,1823147913658610000
44099092,Miami Gardens,FL,SOLD,19310 NW 47th Ave,33055,3.0,2.0,449000,-80.27816,25.949436,SINGLE_FAMILY,8245.0,556800.0,3200,2022-08-30,381679.0,2023.0,3021060070020
6246274,Charlotte,NC,OTHER,248 S Colonial Ave APT 7,28207,1.0,1.0,241400,-80.82654,35.20834,CONDO,17932.0,241400.0,1500,2007-02-27,184939.0,2023.0,15501518
57328072,New Canaan,CT,OTHER,131 Pequot Ln,06840,6.0,8.0,4663800,-73.54054,41.184624,SINGLE_FAMILY,294030.0,4663800.0,25958,2007-12-20,2293340.0,2023.0,NCANM0029B140L00075
